model_id,runner,arch,language,audio_set_id,sample_count,run_count,median_elapsed_s,median_latency_per_10s,median_wer_pct,median_cer_pct,peak_rss_mb
mlx-whisper-small,mlx_whisper,AR,ru,live,10,10,0.5221,0.4306,14.84,12.61,894.5
mlx-whisper-small,mlx_whisper,AR,ru,silero_v4_ru_xenia_48k,10,10,0.4399,0.5315,22.79,19.32,895.8
parakeet-tdt-0.6b-v3,transformers,NAR (TDT),all,elevenlabs_rachel_mixed,20,20,1.2015,0.8708,11.48,6.42,2963.9
parakeet-tdt-0.6b-v3,transformers,NAR (TDT),all,live,20,20,1.2279,0.9551,11.48,6.42,1138.1
parakeet-tdt-0.6b-v3,transformers,NAR (TDT),all,silero_v4_ru_xenia_48k,10,10,1.0349,1.2479,21.43,18.37,2358.8
parakeet-tdt-0.6b-v3,transformers,NAR (TDT),en,elevenlabs_rachel_mixed,10,10,1.0836,0.858,4.91,3.21,2963.9
parakeet-tdt-0.6b-v3,transformers,NAR (TDT),en,live,10,10,1.2279,0.9251,4.91,3.21,1138.1
parakeet-tdt-0.6b-v3,transformers,NAR (TDT),ru,elevenlabs_rachel_mixed,10,10,1.2765,0.9426,16.52,7.68,2748.2
parakeet-tdt-0.6b-v3,transformers,NAR (TDT),ru,live,10,10,1.2051,1.0145,16.52,7.68,825.4
parakeet-tdt-0.6b-v3,transformers,NAR (TDT),ru,silero_v4_ru_xenia_48k,10,10,1.0349,1.2479,21.43,18.37,2358.8
parakeet-tdt-0.6b-v3-mlx,parakeet_mlx,NAR (TDT),all,elevenlabs_rachel_mixed,20,20,0.3891,0.3018,11.48,7.47,4643.8
parakeet-tdt-0.6b-v3-mlx,parakeet_mlx,NAR (TDT),all,live,20,20,0.3717,0.2869,12.86,7.34,3390.0
parakeet-tdt-0.6b-v3-mlx,parakeet_mlx,NAR (TDT),all,silero_v4_ru_xenia_48k,10,10,0.2695,0.3643,21.43,17.95,4493.4
parakeet-tdt-0.6b-v3-mlx,parakeet_mlx,NAR (TDT),en,elevenlabs_rachel_mixed,10,10,0.3546,0.2869,4.91,3.13,4643.8
parakeet-tdt-0.6b-v3-mlx,parakeet_mlx,NAR (TDT),en,live,10,10,0.3524,0.2895,4.91,3.13,927.6
parakeet-tdt-0.6b-v3-mlx,parakeet_mlx,NAR (TDT),ru,elevenlabs_rachel_mixed,10,10,0.3926,0.329,16.52,11.32,4639.8
parakeet-tdt-0.6b-v3-mlx,parakeet_mlx,NAR (TDT),ru,live,10,10,0.4007,0.2843,17.07,13.31,3390.0
parakeet-tdt-0.6b-v3-mlx,parakeet_mlx,NAR (TDT),ru,silero_v4_ru_xenia_48k,10,10,0.2695,0.3643,21.43,17.95,4493.4
sensevoice-small,funasr,NAR (CTC),all,elevenlabs_rachel_mixed,20,20,0.472,0.3786,75.36,46.42,3910.7
sensevoice-small,funasr,NAR (CTC),all,live,20,20,0.5546,0.4314,75.36,46.42,3659.5
sensevoice-small,funasr,NAR (CTC),all,silero_v4_ru_xenia_48k,10,10,0.4088,0.5575,100.0,99.23,3270.4
sensevoice-small,funasr,NAR (CTC),en,elevenlabs_rachel_mixed,10,10,0.472,0.3658,9.88,7.54,3910.7
sensevoice-small,funasr,NAR (CTC),en,live,10,10,0.5546,0.4414,9.88,7.54,3659.5
sensevoice-small,funasr,NAR (CTC),ru,elevenlabs_rachel_mixed,10,10,0.4745,0.3836,100.0,99.3,3905.2
sensevoice-small,funasr,NAR (CTC),ru,live,10,10,0.5509,0.4196,100.0,99.3,3659.1
sensevoice-small,funasr,NAR (CTC),ru,silero_v4_ru_xenia_48k,10,10,0.4088,0.5575,100.0,99.23,3270.4
t-one,tone,NAR (CTC),all,elevenlabs_rachel_mixed,20,20,0.9659,0.7156,76.88,73.16,2988.6
t-one,tone,NAR (CTC),all,live,20,20,2.5492,1.4204,95.31,85.22,2880.1
t-one,tone,NAR (CTC),all,silero_v4_ru_xenia_48k,10,10,0.8538,0.8407,22.97,20.42,1887.8
t-one,tone,NAR (CTC),en,elevenlabs_rachel_mixed,10,10,0.99,0.7388,100.0,99.57,1946.1
